concat(annotationID,' ',annotationURI)
53491 info:doi/10.1371/annotation/023eac60-5836-4679-b596-1de8bca86855
52705 info:doi/10.1371/annotation/023f4e9e-c400-4a5e-abf8-daa6885e724c
171 info:doi/10.1371/annotation/0246690c-5053-4322-9fe1-91c311c50427
70709 info:doi/10.1371/annotation/024c75e6-328f-4133-895d-d913131b9917
50777 info:doi/10.1371/annotation/02512232-7a36-4aea-b406-9a760494888c
173 info:doi/10.1371/annotation/02590fdc-5466-4297-9e22-7b2f881a35af
175 info:doi/10.1371/annotation/02593d74-723c-4301-8bbe-ec2333c6de0c
177 info:doi/10.1371/annotation/025fd6e8-a41c-43ea-952d-11e6d57b4fc5
179 info:doi/10.1371/annotation/02667543-463c-404c-911f-b1ae16d6b6ab
65985 info:doi/10.1371/annotation/026debe8-d5c9-42c4-b42e-ccc44b4c08d0
72771 info:doi/10.1371/annotation/026f884a-d72e-4d2e-9f5f-ef92d7a942c9
43135 info:doi/10.1371/annotation/027a6367-61d5-4a6d-9294-88a9ebc9c7b2
181 info:doi/10.1371/annotation/02801ceb-bad9-4e7f-a0ac-2fb4618004fe
52665 info:doi/10.1371/annotation/0285725f-32e5-4fc2-8c9f-7d129367b47a
87737 info:doi/10.1371/annotation/02857e62-349e-414f-aea3-e15f742be9c9
87707 info:doi/10.1371/annotation/0288f1bb-ff9a-45a3-9e05-e86d0cde95bd
62647 info:doi/10.1371/annotation/028b3c94-de8e-4614-9e59-473e8f417e06
51411 info:doi/10.1371/annotation/028ba283-14f1-44bc-821c-a44061ffd229
73833 info:doi/10.1371/annotation/028be73e-ed6b-4460-b3ba-6b5d41d9e770
51047 info:doi/10.1371/annotation/0293990d-19c9-46e6-b618-9c1e478bdc5f
57465 info:doi/10.1371/annotation/029933af-4f41-4aa1-b599-8576c7c7cbe7
78659 info:doi/10.1371/annotation/0299ef8c-2b50-49f7-8805-7979a6285a22
185 info:doi/10.1371/annotation/029ef205-ae95-49c0-9efe-f9e71fc3e613
52093 info:doi/10.1371/annotation/02a2c435-eea2-40db-bd12-4b2f0bc36e01
44279 info:doi/10.1371/annotation/02a69326-06e6-4472-80b1-acfde7e3188d
63961 info:doi/10.1371/annotation/02a9a168-4a7e-469e-bb08-b5a47a509b6d
191 info:doi/10.1371/annotation/02aa5d93-5a72-4c51-b794-47236112dd07
193 info:doi/10.1371/annotation/02afa7b0-33b1-4582-815b-6725fbb7ef90
195 info:doi/10.1371/annotation/02b09a65-3fa8-42a3-a57a-217de98e3b05
86705 info:doi/10.1371/annotation/02b0d736-3c80-4c0a-8793-6519d558cd11
63081 info:doi/10.1371/annotation/02b291c4-9a92-46e9-8096-83016680ec37
197 info:doi/10.1371/annotation/02be3635-090c-43e8-a2ee-eae8cb6c6440
199 info:doi/10.1371/annotation/02c3482e-4bee-4581-bbd1-866eef87f23f
201 info:doi/10.1371/annotation/02c6012e-4d15-427e-9a35-99d3f9563012
61723 info:doi/10.1371/annotation/02c709ed-aea5-45a6-8324-4c1823ea7681
86725 info:doi/10.1371/annotation/02c7c907-481b-41d1-b9af-52eb9724e487
203 info:doi/10.1371/annotation/02c80a6f-e22b-4cbd-a05f-8e36d9642540
75025 info:doi/10.1371/annotation/02cc6ecb-308c-4cad-b8bd-69d33c666c78
52175 info:doi/10.1371/annotation/02d55b95-f2cf-4a88-b782-747254b8998d
205 info:doi/10.1371/annotation/02ddac7d-20c8-4c78-a44c-051fa75cc564
207 info:doi/10.1371/annotation/02ddfacf-fa7e-47b2-83b4-efdbf0455ecb
87099 info:doi/10.1371/annotation/02e3791c-5607-492d-b284-d83d57465d83
209 info:doi/10.1371/annotation/02e3b328-af0b-4a54-bb29-76e60d5b0382
82844 info:doi/10.1371/annotation/02e68b8c-5d2e-41ba-8983-049a7972f845
211 info:doi/10.1371/annotation/02eae6d6-af7f-41d8-b2b3-b6d32fdce7a6
213 info:doi/10.1371/annotation/02eafbff-9c1b-42a1-bdef-61c0ffe2f8a5
215 info:doi/10.1371/annotation/02f4f580-e8a2-4f49-9a0c-632e6f46573e
61115 info:doi/10.1371/annotation/02feba3a-73cb-44c9-b12f-925874f361b2
45741 info:doi/10.1371/annotation/03038b93-dabd-45c0-8d27-ac7e28c38cf0
66773 info:doi/10.1371/annotation/030883a5-9d60-4567-815e-c5668425254c
84712 info:doi/10.1371/annotation/03094e98-2b46-426d-a990-f65abe4ba2c2
217 info:doi/10.1371/annotation/03095a0c-5a9c-410f-abf9-1d4042339b61
219 info:doi/10.1371/annotation/030c20f6-1e4a-4864-817e-5809e21d66cf
221 info:doi/10.1371/annotation/030cf161-3c3e-4485-8d34-9f3572ebb962
223 info:doi/10.1371/annotation/03103e99-d149-4872-951c-be9c927ed1a9
225 info:doi/10.1371/annotation/0319bf2e-1cb8-4bb6-9bf9-26fe28c235fb
227 info:doi/10.1371/annotation/031a8a8f-d008-4cf2-b645-5e83c7a52171
55795 info:doi/10.1371/annotation/031b3db3-4e2c-4eb2-95d5-915dd51516ea
229 info:doi/10.1371/annotation/031f63b9-ac53-49a3-abc7-bf6b03fd0547
231 info:doi/10.1371/annotation/0320bae6-b561-4267-9966-161ac15d0df4
61621 info:doi/10.1371/annotation/03211649-d756-4f40-9fbb-ff291d9372cf
66445 info:doi/10.1371/annotation/03272e62-2876-4752-964f-b04b70910145
233 info:doi/10.1371/annotation/0328a4af-f254-4535-8bf8-ace2db6f6501
64915 info:doi/10.1371/annotation/032b41ce-df67-44ef-9723-4402a8f47d14
235 info:doi/10.1371/annotation/032b6999-5a7c-4d5b-af00-fc984d28bcf4
87307 info:doi/10.1371/annotation/032bda96-c0c4-4431-8bf5-571391f29ef9
237 info:doi/10.1371/annotation/032d401d-92df-477b-8681-e7de6eb53066
85320 info:doi/10.1371/annotation/0333021b-b579-4202-890f-f58a80917873
239 info:doi/10.1371/annotation/0335828e-12d8-4f55-b8d0-9d0f4a493dab
